Length,Average Number of Sentences,Complex Sentence
18,1.4,Oliver Rolf Kahn (born 15 June 1969 in Karlsruhe) is a former German football goalkeeper.
22,1.1,"Other generalizations of the main conjecture proved using the Euler system method have been obtained by Karl Rubin, amongst others."
21,1.4,"Of Jewish heritage, he changed his surname to his paternal grandmother's maiden name, Waley, in 1914."
27,1.3,A video game publisher is a company that publishes video games that they have either developed internally or have had developed by a video game developer.
14,1.0,Lenzburg transformed into the economic centre of the region in the 19th century.
16,1.1,Food is an important reason why El Puerto de Santa Maria attracts hundreds of tourists.
21,1.0,"Topics such as sanctity of marriage, adultery, alcoholism, prostitution, and religions are woven throughout the album."
36,2.0,"The citizens expelled it in 1552, allying with France: this was unacceptable for Charles, who sent his general Gian Giacomo Medici to lay siege to it with a Florentine-Imperial army."
22,1.4,"2002 2003 seasons Warner began the 2002 season 0 3 as a starter, throwing seven interceptions against only one touchdown."
21,1.0,Influences Regional At the end of the 12th century Europe was divided into a multitude of city states and kingdoms.
18,1.0,"During its heyday, Chang'an was one of the largest and most populous cities in the world."
39,2.0,"The most famous example is the lineage of Dalai Lamas; the current Dalai Lama, Tenzin Gyatso, is held to be the fourteenth mindstream emanation, the first being Gendun Drup (1391 – 1474)."
18,1.3,"It is produced by Antix Productions, led by Yvette Fielding and her husband, Karl Beattie."
40,1.9,"As the new millennium began, Stallone starred in the thriller Get Carter — a remake of the 1971 British Michael Caine film of the same name — but the film was poorly received by both critics and audiences."
25,1.3,"Specific reliability issues may include: The system can not safely be shut down for repair, or it is too inaccessible to repair."
45,2.3,"The aggregate income distribution is highly concentrated towards the top, with the top 6.37% earning roughly one third of all income, and those with upper-middle incomes control a large, though declining, share of the total earned income."
17,1.0,A cream background indicates an event which was part of the pre-war European Championship.
19,1.4,Megalibgwilia is a genus of echidna known only from Australian fossils that incorporates the oldest known echidna species.
43,1.4,"Terrorists have seized control of Las Vegas to instill widespread panic in both the public as well as law enforcement agencies, such as the National Security Agency, North Atlantic Treaty Organization, Rainbow, as well as the local SWAT."
30,1.1,"Note that two storms on record, Hurricane Alice from the 1954 season and Tropical Storm Zeta from the 2005 season have formed during December and lasted into January."
23,1.4,Aigné is a commune in the Sarthe department in the region of Pays-de-la-Loire in northwestern France.
15,1.0,"Casting included Waheed Murad, Shamim Ara, Deeba, Ibrahim Nafees and Talish."
13,1.5,Biography Nikodinov is the daughter of Bulgarian immigrants and speaks Bulgarian fluently.
39,1.7,"98% of the university's incoming class of 2006 earned a high school GPA of 3.0 and higher, while the middle 50% of the incoming class earned a high school GPA of 3.60 to 3.90."
32,1.3,"If you absolutely must specify a font size, use a relative size like font-size: 80%, not an absolute size like font-size: 8pt."
17,1.3,"History Rockingham was first surveyed in 1847, it was gazetted as a town in 1897."
19,1.4,Oen Siew Yock took over as principal in 2005 when Ong was transferred to Nan Chiau High School.
27,1.1,"In 1941 Reichsführer-SS Heinrich Himmler, announced that additional units for the Waffen-SS would be raised from non-German foreign nationals."
11,1.1,Dijon is the historical capital of the province of Burgundy.
13,1.4,The islands are considered Australian territory and are administered from Thursday Island.
16,1.3,Spider Kiss (originally entitled Rockabilly) is a 1961 novel by author Harlan Ellison.
21,1.8,"He died at age 41 in Canterbury of apoplexy, and a monument to him was built in Canterbury Cathedral."
9,1.0,It was discovered in 1949 by Walter Baade.
7,1.1,Etymology Tirunelveli is also called Nellai.
29,1.5,44 - 47 The plans allow for the long-term replacement of the bus network by rail-based transportation as the primary mode of public transportation.
12,1.0,Montero gave her first public performance at the age of five.
24,1.4,"As the Church of Satan does not publicly release membership information, it is not known how many members belong to the Church."
23,1.3,"The season was officially canceled on February 16, 2005 due to an unresolved lockout that began on September 16, 2004."
33,1.5,"On July 19, 2000, he formed (with fellow anison vocalists Hironobu Kageyama, Masaaki Endoh, Eizo Sakamoto, and Rica Matsumoto) the ""supergroup"" JAM Project."
14,1.3,Zoutleeuw is a municipality and town in the Belgian province of Flemish Brabant.
17,1.5,They will float to the top platform level and then descend to harass and attack Zub.
29,1.1,A choral scholar is a student either at a university or private school who receives a scholarship in exchange for singing in the school or university's choir.
19,1.6,"Previously, the language was written in Míkmaq hieroglyphic writing, a script of partially-native origin."
12,1.0,M is the thirteenth letter of the basic modern Latin alphabet.
15,1.6,The former member of the Swiss Federal Council Josef Escher was born in Simplon.
33,1.2,"At home in Haworth Parsonage, Charlotte and the other surviving children — Branwell, Emily and Anne — began chronicling the lives and struggles of the inhabitants of their imaginary kingdoms."
15,1.6,"He also invented the binary system, foundation of virtually all modern computer architectures."
27,1.8,"Sacred music While Rore is best known for his Italian madrigals, he was also a prolific composer of sacred music, both masses and motets."
10,1.0,Stieler began his career as a painter of miniatures.
22,1.4,Wilma may refer to: Wilma is a female first name originating as a short form of the German name Wilhelmina.
30,1.3,Storm names 2006 storm names Alberto Helene Beryl Isaac Chris Debby Ernesto Florence Gordon The names listed were used for named storms formed in the North Atlantic during 2006.
15,1.2,Extensions were added in 1980 at both ends of the Bloor-Danforth Line.
33,1.4,"He is a member of the Austrian writers' associations Grazer Autorenversammlung (GAV) GAV members' list, entry about Klaus Ebner, retrieved on 2009 - 02 - 12."
9,1.0,The Hubble Space Telescope observed Fortuna in 1993.
34,1.4,"In some videos, the woman may demand that her ""straight"" husband or boyfriend perform sex acts with the other man as ""punishment"" for infidelity (see Cuckold)."
36,1.9,"The album featured a greater creative input from the quartet, although they still relied on a heavyweight production crew including Rodney Jerkins, Missy Elliott, Chad Elliot, and Dwayne Wiggins of Tony!"
33,1.5,"Administrative termination Memberships may be terminated at the discretion of the ruling body of the Church of Satan consisting of the High Priest, the High Priestess and the Council of Nine."
23,1.5,"The Saturnian moon Rhea may have a tenuous ring system consisting of three narrow, relatively dense bands within a particulate disk."
16,1.1,He is also co-creator of the short-lived cult television show Profit.
31,1.6,Vietnam War: four F-4C Phantoms escorting a bombing raid at Kang Chi are the targets of antiaircraft missiles in the first such attack against American aircraft in the war.
43,2.5,"Diagnosis is made by seeing these symptoms, having a history of exposure is also helpful but not always found as kennel cough is easily spread through contact with contaminated surfaces such as the ground, toys, sidewalks, dog parks."
19,1.3,"Toller Shalitoe Montague Cranston, CM (born April 20, 1949) is a Canadian figure skater."
18,1.0,"However, the saltire design of the Alabama state flag also bears resemblance to several other flags."
13,1.0,"Following Heraclius, the title commonly became the Greek Basileus (Gr."
